"CLUES","POB1_T10","POB42_T10","POB84_T10","POB17_T10","POB18_T10","POB19_T10","POB20_T10","POB21_T10","POB22_T10","POB23_T10","POB24_T10","POB25_T10","SALUD1_T10","SALUD2_T10","SALUD3_T10","SALUD4_T10","SALUD5_T10","SALUD6_T10","SALUD7_T10","SALUD8_T10","SALUD9_T10","SALUD10_T10","CLUES_N1_10_T10","CLUES_N1_20_T10","CLUES_N1_40_T10","CLUES_N1_60_T10","tiempo_promedio_clues_N1_mas_cercano_T10","id_clues_N1_mas_cercano_T10","CLUES_N2_10_T10","CLUES_N2_20_T10","CLUES_N2_40_T10","CLUES_N2_60_T10","tiempo_promedio_clues_N2_mas_cercano_T10","id_clues_N2_mas_cercano_T10","CLUES_N3_10_T10","CLUES_N3_20_T10","CLUES_N3_40_T10","CLUES_N3_60_T10","tiempo_promedio_clues_N3_mas_cercano_T10","id_clues_N3_mas_cercano_T10","POB1_T20","POB42_T20","POB84_T20","POB17_T20","POB18_T20","POB19_T20","POB20_T20","POB21_T20","POB22_T20","POB23_T20","POB24_T20","POB25_T20","SALUD1_T20","SALUD2_T20","SALUD3_T20","SALUD4_T20","SALUD5_T20","SALUD6_T20","SALUD7_T20","SALUD8_T20","SALUD9_T20","SALUD10_T20","CLUES_N1_10_T20","CLUES_N1_20_T20","CLUES_N1_40_T20","CLUES_N1_60_T20","tiempo_promedio_clues_N1_mas_cercano_T20","id_clues_N1_mas_cercano_T20","CLUES_N2_10_T20","CLUES_N2_20_T20","CLUES_N2_40_T20","CLUES_N2_60_T20","tiempo_promedio_clues_N2_mas_cercano_T20","id_clues_N2_mas_cercano_T20","CLUES_N3_10_T20","CLUES_N3_20_T20","CLUES_N3_40_T20","CLUES_N3_60_T20","tiempo_promedio_clues_N3_mas_cercano_T20","id_clues_N3_mas_cercano_T20","POB1_T40","POB42_T40","POB84_T40","POB17_T40","POB18_T40","POB19_T40","POB20_T40","POB21_T40","POB22_T40","POB23_T40","POB24_T40","POB25_T40","SALUD1_T40","SALUD2_T40","SALUD3_T40","SALUD4_T40","SALUD5_T40","SALUD6_T40","SALUD7_T40","SALUD8_T40","SALUD9_T40","SALUD10_T40","CLUES_N1_10_T40","CLUES_N1_20_T40","CLUES_N1_40_T40","CLUES_N1_60_T40","tiempo_promedio_clues_N1_mas_cercano_T40","id_clues_N1_mas_cercano_T40","CLUES_N2_10_T40","CLUES_N2_20_T40","CLUES_N2_40_T40","CLUES_N2_60_T40","tiempo_promedio_clues_N2_mas_cercano_T40","id_clues_N2_mas_cercano_T40","CLUES_N3_10_T40","CLUES_N3_20_T40","CLUES_N3_40_T40","CLUES_N3_60_T40","tiempo_promedio_clues_N3_mas_cercano_T40","id_clues_N3_mas_cercano_T40","POB1_T60","POB42_T60","POB84_T60","POB17_T60","POB18_T60","POB19_T60","POB20_T60","POB21_T60","POB22_T60","POB23_T60","POB24_T60","POB25_T60","SALUD1_T60","SALUD2_T60","SALUD3_T60","SALUD4_T60","SALUD5_T60","SALUD6_T60","SALUD7_T60","SALUD8_T60","SALUD9_T60","SALUD10_T60","CLUES_N1_10_T60","CLUES_N1_20_T60","CLUES_N1_40_T60","CLUES_N1_60_T60","tiempo_promedio_clues_N1_mas_cercano_T60","id_clues_N1_mas_cercano_T60","CLUES_N2_10_T60","CLUES_N2_20_T60","CLUES_N2_40_T60","CLUES_N2_60_T60","tiempo_promedio_clues_N2_mas_cercano_T60","id_clues_N2_mas_cercano_T60","CLUES_N3_10_T60","CLUES_N3_20_T60","CLUES_N3_40_T60","CLUES_N3_60_T60","tiempo_promedio_clues_N3_mas_cercano_T60","id_clues_N3_mas_cercano_T60"
"HGIMB001790",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMO000964",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMB000344",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMB000356",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMB000361",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMO000952",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGIMB004800",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGSMP000864",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGSMP000881",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGSMP000905",35193.5293940883,18613.7730248997,16513.893831969,33706.9267253207,32571.4327288244,28355.6520098493,26594.6327962991,24754.5068207451,20657.6140489283,4704.77847756205,3248.81551152676,2079.05711061102,24808.1184407797,10294.548416089,12027.6780533089,1887.98904958692,9819.94563730893,548.685477231813,341.367700263597,228,103.322564983812,137.299826547355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61823.9272215655,32233.3003678023,29477.5688448718,59082.6935263192,57041.7496655171,49471.0580468906,46256.5241883367,42965.8238444802,35708.2557104334,8106.26263756684,5618.50144578372,3698.5350315353,44641.9668613547,17027.1320107192,20527.9034708889,2523.12545223448,20119.9715265451,723.426936469423,483.528402996582,271.502450176737,129.734820115448,286.589080795385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142404.715084822,73994.4656929858,68095.3255050211,136480.409072608,132102.2873816,115647.241160912,108442.561727403,101012.564012737,84812.4701158885,20077.3019461855,13818.8933900201,9060.04934911859,102828.985425156,39136.097460623,59509.7178147784,5647.71501846061,35100.0219003435,952.056988108333,1234.83324890982,577.083122274541,247,529.841387084174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166822,86531,79816,159823,154673,135214,126714,118031,99087,23572,16301,10734,117098,49101,65008,6723,42041,1049,1742,731,270,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
