"CLUES","Conteo_N1_T10","Conteo_N1_T20","Conteo_N1_T40","Conteo_N1_T60","Conteo_N2_T10","Conteo_N2_T20","Conteo_N2_T40","Conteo_N2_T60","Conteo_N3_T10","Conteo_N3_T20","Conteo_N3_T40","Conteo_N3_T60","CLUES_N1_mas_cercano","Tiempo_promedio_CLUES_N1_mas_cercano","CLUES_N2_mas_cercano","Tiempo_promedio_CLUES_N2_mas_cercano","CLUES_N3_mas_cercano","Tiempo_promedio_CLUES_N3_mas_cercano"
"HGIMB001790","0","2","58","101","1","1","19","26","0","0","0","0","HGIMB003861","13.1190620533197","HGIMO000952","2.47984355326041","HGIMB002304","94.5189273202989"
"HGIMO000964","1","4","45","95","0","1","19","26","0","0","0","0","HGIMO000112","7.6935782082802","HGIMO000952","11.8365510787414","HGIMB002304","97.53359534641"
"HGIMB000344","1","13","28","38","0","5","14","14","0","0","0","0","HGIMB000361","8.76691475268371","HGIMB004800","10.2199189011441","HGIMB002304","105.615039897102"
"HGIMB000356","0","1","10","32","0","0","5","14","0","0","0","0","HGIMB005010","18.6270095853091","HGSMP001511","25.5904350431059","HGIMB002304","123.833175560376"
"HGIMB000361","2","12","23","36","0","4","10","14","0","0","0","0","HGIMB001032","8.3663189826926","HGIMB004800","18.5287118129427","HGIMB002304","113.923832808901"
"HGIMB004865","1","15","35","48","1","12","14","14","0","0","0","0","HGIMB004766","8.99685469089624","HGIMB004800","8.99685469089624","HGIMB002304","91.1848020675149"
"HGIMB004766","6","16","32","46","5","9","14","14","0","0","0","0","HGIST000024","1.732517090609","HGIMB004800","0","HGIMB002304","95.3951209959583"
"HGIMO000170","0","4","28","43","0","3","14","14","0","0","0","0","HGIMB003021","14.9581682511068","HGSMP000864","19.5916134094172","HGIMB002304","109.609798122043"
"HGIMO000182","0","11","21","36","0","5","9","14","0","0","0","0","HGIMB000344","10.2627901237099","HGSMP001511","14.9077253420481","HGIMB002304","113.150465859318"
"HGIMO000194","0","0","16","49","0","0","5","15","0","0","0","0","HGIMB000332","21.1070756411284","HGSMP000864","36.3298118103195","HGIMB002304","119.41779865982"
"HGIMS000024","5","12","32","44","5","5","14","14","0","0","0","0","HGSMP002292","1.0609110814407","HGSMP000881","0.966797593196987","HGIMB002304","98.0784176159721"
"HGIST000024","5","13","32","44","5","5","14","14","0","0","0","0","HGIMS000024","1.22928032552189","HGSMP000881","0.552709910559414","HGIMB002304","96.9462656371221"
"HGSMP002274","5","11","33","45","5","5","14","14","0","0","0","0","HGSMP002283","0.319818508974043","HGSMP000905","0.47706926432778","HGIMB002304","97.4109882651316"
"HGSMP002283","5","11","33","45","5","5","14","14","0","0","0","0","HGSMP002274","0.319818508974043","HGSMP000864","0.318934600470679","HGIMB002304","97.7308067741056"
"HGSMP002292","5","10","33","44","5","5","14","14","0","0","0","0","HGSMP002274","0.332242828878456","HGSMP000905","0.338498416421622","HGIMB002304","97.74323109401"
"HGIMB000023","0","12","50","83","0","1","21","24","0","0","0","0","HGIMO000486","10.7999529063583","HGSMP000135","13.3353675274177","HGIMB002304","63.2909920505979"
"HGIMB000035","1","3","21","65","0","0","4","23","0","0","0","0","HGIMO000042","6.05653032922488","HGSMP000135","26.2207111052104","HGIMB002304","76.1763356283906"
"HGIMB000040","3","8","46","84","1","2","21","24","0","0","0","0","HGIMB000011","5.59746407062615","HGSMP000135","5.97135156432354","HGIMB002304","74.2240397101502"
"HGIMB000052","2","12","56","105","1","11","23","26","0","0","0","0","HGIMB000011","9.42143942234692","HGSMP000135","9.04755192864953","HGIMB002304","75.7579953973632"
"HGIMB000011","4","26","56","99","1","16","23","26","0","0","0","0","HGSMP003355","0","HGSMP000135","0.37388749369739","HGIMB002304","68.8788881518635"
"HGIMO002224","1","4","18","65","0","0","1","19","0","0","0","0","HGIMO000013","0","HGIMO000952","34.5179487856549","HGIMB002304","86.237614114012"
"HGIMO000013","1","4","18","65","0","0","1","19","0","0","0","0","HGIMO002224","0","HGIMO000952","34.5179487856549","HGIMB002304","86.237614114012"
"HGIMO000025","0","7","46","89","0","1","21","24","0","0","0","0","HGIMB000011","10.652710514968","HGSMP000135","10.7705335759127","HGIMB002304","66.6674971972301"
"HGIMO000030","0","3","18","61","0","0","2","22","0","0","0","0","HGIMB000035","15.047732277252","HGIMO000952","28.1950980149049","HGIMB002304","83.2715456281045"
"HGIMO000042","1","3","21","66","0","0","3","22","0","0","0","0","HGIMB000035","6.05653032922488","HGSMP000135","27.0407945388352","HGIMB002304","76.9964190620153"
"HGSMP003355","4","26","56","99","1","16","23","26","0","0","0","0","HGIMB000011","0","HGSMP000135","0.37388749369739","HGIMB002304","68.8788881518635"
"HGIMB000076","1","12","58","73","0","2","18","24","0","0","0","0","HGIMB000793","6.07796134020208","HGCRO000015","16.3536284153759","HGIMB002304","116.495744260825"
"HGIMB000093","3","12","30","78","1","3","15","24","0","0","0","0","HGIMB000110","6.64898737988159","HGSMP002043","5.43865547771875","HGIMB002304","110.149939228236"
"HGIMB000105","0","4","19","36","0","0","3","15","0","0","0","0","HGIMO002236","11.2929745937775","HGCRO000015","23.7949266012966","HGIMB002304","130.727018806438"
"HGIMB000110","2","11","50","87","1","3","21","24","0","0","0","0","HGIMB003873","1.95441444600857","HGSMP002043","1.21033190216284","HGIMB002304","104.894317564075"
"HGIMB000122","4","15","33","68","2","2","4","22","0","0","0","0","HGSMP001120","8.1548448210778","HGCRO000015","8.1548448210778","HGIMB002304","127.547445964327"
"HGIMB000134","4","9","21","69","0","3","4","23","0","0","0","0","HGIMB000093","7.33362927537803","HGSMP002043","12.7722847530968","HGIMB002304","117.483568503614"
"HGIMB000146","6","9","21","50","2","2","3","17","0","0","0","0","HGIMO000066","1.99624324407389","HGCRO000015","9.46813533013693","HGIMB002304","130.768324422879"
"HGIMB005372","5","15","31","68","2","3","4","23","0","0","0","0","HGIMB000064","0","HGCRO000015","0.776298430174951","HGIMB002304","122.3245961195"
"HGIMB000081","3","9","23","45","0","2","3","12","0","0","0","0","HGIMB000146","9.77791173780558","HGCRO000015","10.6830716925328","HGIMB002304","131.983260785275"
"HGIMB000064","5","15","31","68","2","3","4","23","0","0","0","0","HGIMB005372","0","HGCRO000015","0.776298430174951","HGIMB002304","122.3245961195"
"HGIMO002236","3","12","22","68","0","3","3","23","0","0","0","0","HGIMO002516","0","HGCRO000015","12.6741707208836","HGIMB002304","121.249609870402"
"HGIMO002480","2","10","29","62","0","2","4","21","0","0","0","0","HGIMO000083","0","HGCRO000015","12.6808601640212","HGIMB002304","133.698200133771"
"HGIMO002516","3","12","22","68","0","3","3","23","0","0","0","0","HGIMO002236","0","HGCRO000015","12.6741707208836","HGIMB002304","121.249609870402"
"HGIMO000054","0","0","3","16","0","0","0","2","0","0","0","0","HGIMO002480","35.9530501114279","HGCRO000015","45.7389390908356","HGIMB002304","166.756279060586"
"HGIMO000066","1","9","20","41","0","2","3","10","0","0","0","0","HGIMB000146","1.99624324407389","HGCRO000015","11.4643785742108","HGIMB002304","132.764567666953"
"HGIMO000071","3","12","22","68","0","3","3","23","0","0","0","0","HGIMO002236","0","HGCRO000015","12.6741707208836","HGIMB002304","121.249609870402"
"HGIMO000083","2","10","29","62","0","2","4","21","0","0","0","0","HGIMO002480","0","HGCRO000015","12.6808601640212","HGIMB002304","133.698200133771"
"HGSMP001120","5","17","31","69","2","3","4","23","0","0","0","0","HGSMP001132","0","HGCRO000015","0","HGIMB002304","121.548297689325"
"HGSMP001132","5","17","31","69","2","3","4","23","0","0","0","0","HGSMP001120","0","HGCRO000015","0","HGIMB002304","121.548297689325"
"HGIMB000274","1","7","14","46","0","0","1","15","0","0","0","0","HGIMO000100","4.00061474218432","HGIMO000952","36.4158683956047","HGIMB002304","96.2816944627888"
"HGIMB000286","3","6","10","51","0","0","1","20","0","0","0","0","HGIMB005314","6.48371379501596","HGIMO000952","32.270871946628","HGIMB002304","107.468358770314"
"HGIMB005314","3","7","12","66","0","0","1","20","0","0","0","0","HGIMB000262","0","HGIMO000952","26.3898607075782","HGIMB002304","108.376590717905"
"HGIMB000262","3","7","12","66","0","0","1","20","0","0","0","0","HGIMB005314","0","HGIMO000952","26.3898607075782","HGIMB002304","108.376590717905"
"HGIMO000100","2","7","13","55","0","0","1","17","0","0","0","0","HGIMB000274","4.00061474218432","HGIMO000952","34.8415529906649","HGIMB002304","97.6385949955295"
"HGIMO000112","3","8","22","84","0","1","6","24","0","0","0","0","HGIMB005314","6.96347908252266","HGIMO000952","19.5301292870216","HGIMB002304","101.413111635382"
"HGIMO000124","0","3","9","23","0","0","0","3","0","0","0","0","HGIMB000286","15.2293547091426","HGIMO000952","42.1202469035104","HGIMB002304","119.79713222422"
"HGIMB000291","1","1","10","33","0","0","1","5","0","0","0","0","HGIMO000153","1.99796985885453","HGSMP004101","22.6428953388389","HGDIF000014","159.618160471328"
