"CVEGEO","POB_0a2","POB_3a5","POB_6a11","POB_12a14","POB_15a19","POB_20a59","POB_60ymas","POBM_0a2","POBM_3a5","POBM_6a11","POBM_12a14","POBM_15a19","POBM_20a59","POBM_60ymas","POBF_0a2","POBF_3a5","POBF_6a11","POBF_12a14","POBF_15a19","POBF_20a59","POBF_60ymas"
"130010001",21,18,49,25,36,226,64,15,10,21,11,20,105,28,6,8,28,14,16,121,36
"1300100010043",21,18,49,25,36,226,64,15,10,21,11,20,105,28,6,8,28,14,16,121,36
"130010002",18,23,48,21,31,205,59,7,9,23,12,14,94,27,11,14,25,9,17,111,32
"130010003",28,44,93,38,86,449,129,15,28,48,22,43,212,63,13,16,45,16,43,237,66
"130010004",80,80,185,87,124,757,186,43,45,85,52,67,365,81,37,35,100,35,57,392,105
"130010005",36,41,93,51,74,324,73,21,21,50,25,37,149,36,15,20,43,26,37,175,37
"130010006",44,54,112,36,62,360,86,24,25,68,13,38,162,40,20,29,44,23,24,198,46
"130010007",17,17,31,16,21,120,30,10,9,13,7,6,55,14,7,8,18,9,15,65,16
"130010008",46,49,133,66,95,498,124,19,25,69,34,55,232,58,27,24,64,32,40,266,66
"130010010",46,43,72,56,77,372,85,26,15,33,28,32,163,41,20,28,39,28,45,209,44
"130010011",13,3,21,14,20,92,30,5,0,8,7,10,48,16,8,3,13,7,10,44,14
"130010012",20,21,41,19,24,175,41,10,10,16,8,17,77,21,10,11,25,11,7,98,20
"130010013",14,18,20,14,24,109,41,6,11,10,6,13,51,20,8,7,10,8,11,58,21
"130010015",59,54,128,70,107,651,146,21,23,57,36,52,304,75,38,31,71,34,55,347,71
"130010016",20,12,32,13,24,127,30,13,7,18,8,11,54,15,7,5,14,5,13,73,15
"130010017",50,41,94,54,65,313,65,25,19,50,26,27,136,29,25,22,44,28,38,177,36
"130010018",3,9,32,4,11,63,17,1,3,19,3,5,33,9,2,6,13,1,6,30,8
"130010019",5,14,14,10,9,73,26,3,7,9,5,2,32,11,2,7,5,5,7,41,15
"130010020",48,38,80,40,69,399,110,29,17,37,19,39,194,57,19,21,43,21,30,205,53
"130010021",86,74,174,73,116,578,139,40,36,86,37,57,256,63,46,38,88,36,59,322,76
"130010022",21,16,35,12,26,90,13,12,7,17,6,10,44,6,9,9,18,6,16,46,7
"130010023",13,14,36,19,25,151,48,6,9,14,8,12,65,21,7,5,22,11,13,86,27
"130010024",10,12,32,14,28,88,31,5,6,18,7,14,36,14,5,6,14,7,14,52,17
"130010025",9,6,10,6,11,49,19,2,3,5,4,5,22,8,7,3,5,2,6,27,11
"130010026",14,19,42,18,39,168,24,9,5,25,9,17,79,11,5,14,17,9,22,89,13
"130010027",115,142,278,126,199,1123,231,60,77,142,70,93,520,121,55,65,136,56,106,603,110
"130010028",6,5,28,17,19,117,24,4,2,16,6,8,60,13,2,3,12,11,11,57,11
"130010029",46,58,87,41,66,368,76,20,21,39,21,31,173,38,26,37,48,20,35,195,38
"130010030",22,17,34,16,30,183,27,10,8,21,10,13,81,13,12,9,13,6,17,102,14
"130010031",71,59,114,69,127,622,144,40,32,59,41,62,294,63,31,27,55,28,65,328,81
"130010032",18,13,16,14,11,85,10,11,6,5,9,7,41,4,7,7,11,5,4,44,6
"130010033",7,3,17,9,7,48,9,6,1,10,3,1,23,2,1,2,7,6,6,25,7
"130010036",24,15,56,32,42,200,45,12,8,28,20,15,95,22,12,7,28,12,27,105,23
"130010038",3,10,9,13,11,59,15,1,4,5,6,6,28,7,2,6,4,7,5,31,8
"130010039",2,2,2,1,1,11,7,2,1,2,0,0,5,4,0,1,0,1,1,6,3
"130010040",0,0,2,1,0,2,5,0,0,2,1,0,1,3,0,0,0,0,0,1,2
"130010041",31,39,73,34,51,306,61,20,16,36,15,25,141,35,11,23,37,19,26,165,26
"130010042",2,1,5,2,3,26,16,1,0,2,1,1,14,7,1,1,3,1,2,12,9
"130010043",17,12,30,9,29,123,12,11,9,19,6,17,60,5,6,3,11,3,12,63,7
"130010047",12,22,32,17,19,108,11,7,11,16,9,11,59,3,5,11,16,8,8,49,8
"130010048",7,5,12,10,10,41,7,5,4,8,4,5,18,3,2,1,4,6,5,23,4
"130010049",2,1,8,4,5,21,3,0,0,4,2,2,10,1,2,1,4,2,3,11,2
"130010050",1,4,6,2,5,37,11,1,2,2,2,0,16,5,0,2,4,0,5,21,6
"130010051",28,23,70,29,41,237,55,13,10,37,14,20,117,28,15,13,33,15,21,120,27
"130010052",14,10,21,7,19,105,29,9,2,10,5,11,50,15,5,8,11,2,8,55,14
"130010053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130010055",27,15,36,13,37,112,33,16,8,15,7,21,45,18,11,7,21,6,16,67,15
"130010058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130010059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130010061",9,5,28,15,22,116,23,4,1,16,7,12,54,13,5,4,12,8,10,62,10
"130010062",7,3,9,2,14,59,21,3,1,5,2,9,27,10,4,2,4,0,5,32,11
"130010064",7,9,16,9,10,62,8,4,3,9,4,7,27,5,3,6,7,5,3,35,3
"130010065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130010066",35,37,77,44,71,381,98,20,17,36,19,36,166,51,15,20,41,25,35,215,47
"130010067",2,2,5,4,6,30,5,1,1,3,3,3,15,3,1,1,2,1,3,15,2
"130010068",4,5,18,6,12,37,17,0,4,7,2,4,18,7,4,1,11,4,8,19,10
"130020001",209,212,460,226,354,2037,410,105,121,261,129,187,907,168,104,91,199,97,167,1130,242
"1300200010125",93,89,210,106,160,929,166,45,54,116,62,80,412,74,48,35,94,44,80,517,92
"130020001013A",113,122,246,118,185,1082,242,59,66,143,66,103,482,94,54,56,103,52,82,600,148
"130020001020A",3,0,4,0,9,28,0,0,0,0,0,4,13,0,0,0,0,0,5,15,0
"130020002",24,38,62,41,52,262,51,12,20,38,24,25,130,21,12,18,24,17,27,132,30
"130020003",72,63,165,89,123,779,111,35,35,74,44,68,369,50,37,28,91,45,55,410,61
"130020004",53,53,116,69,89,460,95,29,24,53,36,48,213,48,24,29,63,33,41,247,47
"130020005",82,88,157,71,131,547,113,44,55,84,41,70,258,53,38,33,73,30,61,289,60
"130020006",17,17,34,13,26,106,26,10,8,17,4,14,55,11,7,9,17,9,12,51,15
"130020007",257,270,557,264,447,1858,340,110,137,283,132,208,872,154,147,133,274,132,239,986,186
"1300200070214",149,156,309,156,249,1006,167,62,79,155,78,114,472,75,87,77,154,78,135,534,92
"1300200070229",108,114,248,108,198,852,173,48,58,128,54,94,400,79,60,56,120,54,104,452,94
"1300200070252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
